instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
NAS100_USD,2026-01-20 15:00:00+00:00,2026-01-20 20:00:00+00:00,SHORT,25243.2,25025.4,25376.02818,2,200.0,340.3125,EOD,155014.5711
GBP_USD,2026-01-21 01:00:00+00:00,2026-01-21 10:00:00+00:00,SHORT,1.34522,1.34074,1.34469,377358,200.0,1320.753,EXIT_MODEL,156335.3241
USD_CHF,2026-01-21 01:00:00+00:00,2026-01-21 19:00:00+00:00,LONG,0.78943,0.79564,0.792,78636,200.0,479.4976,EXIT_MODEL,156814.8217
USD_JPY,2026-01-21 02:00:00+00:00,2026-01-21 23:00:00+00:00,LONG,157.917,158.462,158.04976,304510,200.0,818.2066,EXIT_MODEL,157633.0283
AUD_USD,2026-01-21 02:00:00+00:00,2026-01-21 12:00:00+00:00,LONG,0.67358,0.67518,0.67518,125000,200.0,156.25,TRAIL_SL,157789.2783
NAS100_USD,2026-01-21 10:00:00+00:00,2026-01-21 11:00:00+00:00,LONG,25037.4,24933.68223,24933.68223,2,200.0,-162.059,SL,157627.2193
SPX500_USD,2026-01-21 11:00:00+00:00,2026-01-21 14:00:00+00:00,LONG,6794.0,6810.92743,6810.92743,15,200.0,198.3683,TRAIL_SL,157825.5876
EUR_USD,2026-01-21 12:00:00+00:00,2026-01-21 23:00:00+00:00,SHORT,1.17349,1.1673,1.17124,88889,200.0,429.8616,EXIT_MODEL,158255.4492
USD_JPY,2026-01-22 00:00:00+00:00,2026-01-22 06:00:00+00:00,LONG,158.242,158.778,158.37218,311184,200.0,820.6949,EXIT_MODEL,159076.1441
USD_CHF,2026-01-22 05:00:00+00:00,2026-01-22 20:00:00+00:00,SHORT,0.79468,0.78962,0.79328,145313,200.0,727.4897,EXIT_MODEL,159803.6338
GBP_USD,2026-01-22 06:00:00+00:00,2026-01-22 11:00:00+00:00,LONG,1.34258,1.34046,1.34046,94340,200.0,-156.2506,SL,159647.3832
EUR_USD,2026-01-22 08:00:00+00:00,2026-01-22 16:00:00+00:00,LONG,1.1689,1.17388,1.17029,143885,200.0,559.8026,EXIT_MODEL,160207.1858
NAS100_USD,2026-01-22 09:00:00+00:00,2026-01-22 20:00:00+00:00,SHORT,25585.2,25549.2,25722.0199,2,200.0,56.25,EOD,160263.4358
DE30_EUR,2026-01-22 09:00:00+00:00,2026-01-22 15:00:00+00:00,SHORT,24950.0,24876.0,25078.08641,2,200.0,126.4957,EOD,160389.9315
SPX500_USD,2026-01-22 13:00:00+00:00,2026-01-22 20:00:00+00:00,SHORT,6933.0,6921.4,6957.06763,11,200.0,99.6875,EOD,160489.619
AUD_USD,2026-01-23 02:00:00+00:00,2026-01-23 14:00:00+00:00,LONG,0.68409,0.68488,0.68488,253165,200.0,156.2503,TRAIL_SL,160645.8693
USD_JPY,2026-01-23 06:00:00+00:00,2026-01-23 07:00:00+00:00,SHORT,158.872,158.76295,158.76295,372959,200.0,200.1371,TRAIL_SL,160846.0064
GBP_USD,2026-01-23 06:00:00+00:00,2026-01-23 15:00:00+00:00,LONG,1.34838,1.35644,1.35287,44543,200.0,280.4817,EXIT_MODEL,161126.4881
DE30_EUR,2026-01-23 07:00:00+00:00,2026-01-23 15:00:00+00:00,LONG,24860.6,24938.0,24777.06179,3,200.0,198.4615,EOD,161324.9496
USD_CHF,2026-01-23 07:00:00+00:00,2026-01-23 17:00:00+00:00,SHORT,0.79049,0.7858,0.78851,102205,200.0,476.5659,EXIT_MODEL,161801.5155
EUR_USD,2026-01-23 09:00:00+00:00,2026-01-23 17:00:00+00:00,LONG,1.17354,1.17944,1.1764,69930,200.0,322.3336,EXIT_MODEL,162123.8491
NAS100_USD,2026-01-23 09:00:00+00:00,2026-01-23 15:00:00+00:00,LONG,25446.6,25714.2,25518.54174,4,200.0,836.25,EXIT_MODEL,162960.0991
SPX500_USD,2026-01-23 13:00:00+00:00,2026-01-23 20:00:00+00:00,LONG,6902.4,6921.0,6883.2949,13,200.0,188.9063,EOD,163149.0054
USD_JPY,2026-01-25 22:00:00+00:00,2026-01-26 00:00:00+00:00,SHORT,154.599,155.31929,155.31929,54946,200.0,-199.071,SL,162949.9344
USD_JPY,2026-01-26 00:00:00+00:00,2026-01-26 09:00:00+00:00,SHORT,154.844,153.67,154.6987,272815,200.0,1628.3107,EXIT_MODEL,164578.2451
DE30_EUR,2026-01-26 02:00:00+00:00,2026-01-26 13:00:00+00:00,LONG,24769.6,24949.0,24792.43518,10,200.0,1533.3333,EXIT_MODEL,166111.5784
AUD_USD,2026-01-26 03:00:00+00:00,2026-01-26 14:00:00+00:00,LONG,0.69127,0.69396,0.69142,1333333,200.0,2802.0826,EXIT_MODEL,168913.661
GBP_USD,2026-01-26 06:00:00+00:00,2026-01-26 15:00:00+00:00,LONG,1.36562,1.37078,1.36601,512821,200.0,2067.3097,EXIT_MODEL,170980.9707
USD_CHF,2026-01-26 06:00:00+00:00,2026-01-27 06:00:00+00:00,SHORT,0.77792,0.77755,0.7805,77189,200.0,28.6958,MAX_BARS,171009.6665
EUR_USD,2026-01-26 07:00:00+00:00,2026-01-26 15:00:00+00:00,LONG,1.18388,1.18954,1.18402,1428571,200.0,6316.9624,EXIT_MODEL,177326.6289
SPX500_USD,2026-01-26 09:00:00+00:00,2026-01-26 15:00:00+00:00,LONG,6903.8,6959.0,6915.92285,21,200.0,905.625,EXIT_MODEL,178232.2539
NAS100_USD,2026-01-26 10:00:00+00:00,2026-01-26 16:00:00+00:00,LONG,25540.8,25795.8,25570.46394,9,200.0,1792.9688,EXIT_MODEL,180025.2227
AUD_USD,2026-01-27 00:00:00+00:00,2026-01-27 14:00:00+00:00,LONG,0.69082,0.696,0.69395,63898,200.0,258.5872,EXIT_MODEL,180283.8099
GBP_USD,2026-01-27 04:00:00+00:00,2026-01-27 14:00:00+00:00,LONG,1.36748,1.37707,1.37306,35842,200.0,268.535,EXIT_MODEL,180552.3449
DE30_EUR,2026-01-27 04:00:00+00:00,2026-01-27 15:00:00+00:00,SHORT,25024.0,24937.0,25089.54463,4,200.0,297.4359,EOD,180849.7808
USD_CHF,2026-01-27 06:00:00+00:00,2026-01-27 12:00:00+00:00,SHORT,0.77755,0.77098,0.77498,77452,200.0,515.638,EXIT_MODEL,181365.4188
USD_JPY,2026-01-27 07:00:00+00:00,2026-01-27 09:00:00+00:00,SHORT,154.734,154.37671,154.37671,110868,200.0,200.4635,TRAIL_SL,181565.8823
EUR_USD,2026-01-27 08:00:00+00:00,2026-01-27 12:00:00+00:00,LONG,1.18608,1.19281,1.18843,85106,200.0,447.4714,EXIT_MODEL,182013.3537
NAS100_USD,2026-01-27 11:00:00+00:00,2026-01-27 16:00:00+00:00,SHORT,25928.4,26000.51837,26000.51837,4,200.0,-200.0,SL,181813.3537
SPX500_USD,2026-01-27 12:00:00+00:00,2026-01-27 20:00:00+00:00,LONG,6974.6,6987.0,6961.72028,20,200.0,193.75,EOD,182007.1037
AUD_USD,2026-01-28 01:00:00+00:00,2026-01-28 21:00:00+00:00,LONG,0.69862,0.7041,0.70117,78431,200.0,335.7827,EXIT_MODEL,182342.8864
DE30_EUR,2026-01-28 04:00:00+00:00,2026-01-28 12:00:00+00:00,SHORT,24924.6,24846.04038,24846.04038,3,200.0,201.4349,TRAIL_SL,182544.3213
USD_JPY,2026-01-28 06:00:00+00:00,2026-01-28 15:00:00+00:00,LONG,152.65,152.78219,152.78219,295623,200.0,199.827,TRAIL_SL,182744.1483
EUR_USD,2026-01-28 09:00:00+00:00,2026-01-29 09:00:00+00:00,SHORT,1.19869,1.19558,1.20225,56180,200.0,136.4998,MAX_BARS,182880.6481
SPX500_USD,2026-01-28 10:00:00+00:00,2026-01-28 16:00:00+00:00,SHORT,7013.2,6977.5,7001.46512,22,200.0,613.5937,EXIT_MODEL,183494.2418
NAS100_USD,2026-01-28 10:00:00+00:00,2026-01-28 16:00:00+00:00,SHORT,26214.4,26016.2,26157.74584,5,200.0,774.2188,EXIT_MODEL,184268.4606
GBP_USD,2026-01-28 11:00:00+00:00,2026-01-29 04:00:00+00:00,LONG,1.37698,1.38392,1.37809,180180,200.0,976.9134,EXIT_MODEL,185245.374
DE30_EUR,2026-01-29 04:00:00+00:00,2026-01-29 08:00:00+00:00,SHORT,24896.2,24785.84397,24785.84397,2,200.0,188.6428,TRAIL_SL,185434.0168
AUD_USD,2026-01-29 04:00:00+00:00,2026-01-29 13:00:00+00:00,SHORT,0.70904,0.70693,0.70693,94787,200.0,156.2504,TRAIL_SL,185590.2672
USD_CHF,2026-01-29 04:00:00+00:00,2026-01-30 04:00:00+00:00,LONG,0.76521,0.7684,0.76229,67087,200.0,217.5864,MAX_BARS,185807.8536
