instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
EUR_USD,2026-02-05 09:00:00+00:00,2026-02-06 09:00:00+00:00,LONG,1.17808,1.1792,1.1763,84270,150.0,73.7363,MAX_BARS,137981.7581
NAS100_USD,2026-02-05 09:00:00+00:00,2026-02-05 15:00:00+00:00,SHORT,24948.2,24553.4,24881.53554,2,150.0,616.875,EXIT_MODEL,138598.6331
USD_JPY,2026-02-06 00:00:00+00:00,2026-02-06 12:00:00+00:00,LONG,156.653,157.082,156.66081,3851136,150.0,8216.9332,EXIT_MODEL,146815.5663
DE30_EUR,2026-02-06 04:00:00+00:00,2026-02-06 15:00:00+00:00,LONG,24439.8,24731.5,24464.89469,2,150.0,498.6325,EOD,147314.1988
USD_CHF,2026-02-06 08:00:00+00:00,2026-02-06 14:00:00+00:00,SHORT,0.77844,0.77566,0.7784,3736512,150.0,10462.3637,EXIT_MODEL,157776.5625
EUR_USD,2026-02-06 11:00:00+00:00,2026-02-06 20:00:00+00:00,LONG,1.17902,1.18222,1.17912,1500000,150.0,3750.0,FRIDAY_CLOSE,161526.5625
USD_CHF,2026-02-08 22:00:00+00:00,2026-02-09 08:00:00+00:00,SHORT,0.77626,0.77238,0.77509,127386,150.0,499.9337,EXIT_MODEL,162026.4962
USD_JPY,2026-02-08 22:00:00+00:00,2026-02-09 01:00:00+00:00,SHORT,157.412,156.632,157.05469,84585,150.0,329.077,EXIT_MODEL,162355.5732
GBP_USD,2026-02-08 22:00:00+00:00,2026-02-09 15:00:00+00:00,LONG,1.36029,1.36778,1.36387,41899,150.0,245.1746,EXIT_MODEL,162600.7478
AUD_USD,2026-02-08 22:00:00+00:00,2026-02-09 14:00:00+00:00,LONG,0.70168,0.70804,0.70549,39370,150.0,195.6197,EXIT_MODEL,162796.3675
DE30_EUR,2026-02-09 07:00:00+00:00,2026-02-09 15:00:00+00:00,LONG,24819.0,24995.5,24837.01601,2,150.0,301.7094,EOD,163098.0769
USD_JPY,2026-02-09 09:00:00+00:00,2026-02-09 14:00:00+00:00,SHORT,156.644,155.607,156.17377,63959,150.0,332.9978,EXIT_MODEL,163431.0747
SPX500_USD,2026-02-09 10:00:00+00:00,2026-02-09 16:00:00+00:00,LONG,6919.0,6980.7,6925.6248,5,150.0,241.0156,EXIT_MODEL,163672.0903
NAS100_USD,2026-02-09 10:00:00+00:00,2026-02-09 19:00:00+00:00,LONG,24968.2,25330.0,25023.10098,2,150.0,565.3125,EXIT_MODEL,164237.4028
EUR_USD,2026-02-09 10:00:00+00:00,2026-02-09 14:00:00+00:00,LONG,1.186,1.19184,1.18843,61728,150.0,281.634,EXIT_MODEL,164519.0368
GBP_USD,2026-02-10 02:00:00+00:00,2026-02-10 23:00:00+00:00,SHORT,1.36932,1.3633,1.3678,98684,150.0,464.1232,EXIT_MODEL,164983.16
