instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
EUR_USD,2026-01-13 08:00:00+00:00,2026-01-14 01:00:00+00:00,SHORT,1.16693,1.16382,1.16657,731375,263.295,1777.0127,EXIT_MODEL,133424.4913
USD_CHF,2026-01-13 08:00:00+00:00,2026-01-13 16:00:00+00:00,LONG,0.7976,0.80052,0.79807,579646,266.849,1651.8231,EXIT_MODEL,135076.3144
AUD_USD,2026-01-13 09:00:00+00:00,2026-01-13 13:00:00+00:00,SHORT,0.67061,0.67159,0.67159,275666,270.1526,-211.0568,SL,134865.2576
NAS100_USD,2026-01-13 10:00:00+00:00,2026-01-13 15:00:00+00:00,LONG,25739.2,25673.17568,25673.17568,5,269.7305,-257.9075,SL,134607.3501
SPX500_USD,2026-01-13 13:00:00+00:00,2026-01-13 18:00:00+00:00,SHORT,6988.8,6960.5,6987.76836,334,269.2147,7384.5313,EXIT_MODEL,141991.8814
GBP_USD,2026-01-14 01:00:00+00:00,2026-01-14 09:00:00+00:00,LONG,1.34227,1.3457,1.34266,728163,283.9838,1951.2493,EXIT_MODEL,143943.1307
USD_JPY,2026-01-14 01:00:00+00:00,2026-01-14 09:00:00+00:00,SHORT,159.339,158.762,159.09921,244862,287.8863,695.2495,EXIT_MODEL,144638.3802
AUD_USD,2026-01-14 03:00:00+00:00,2026-01-14 13:00:00+00:00,SHORT,0.66992,0.66793,0.6696,903990,289.2768,1405.422,EXIT_MODEL,146043.8022
DE30_EUR,2026-01-14 04:00:00+00:00,2026-01-14 11:00:00+00:00,SHORT,25456.8,25349.7,25441.40442,22,292.0876,2013.8462,EXIT_MODEL,148057.6484
USD_CHF,2026-01-14 08:00:00+00:00,2026-01-14 15:00:00+00:00,SHORT,0.80214,0.79872,0.80114,304033,296.1153,1017.05,EXIT_MODEL,149074.6984
NAS100_USD,2026-01-14 09:00:00+00:00,2026-01-14 14:00:00+00:00,SHORT,25714.2,25603.2752,25603.2752,3,298.1494,259.98,TRAIL_SL,149334.6784
SPX500_USD,2026-01-14 12:00:00+00:00,2026-01-14 15:00:00+00:00,SHORT,6945.8,6935.68833,6935.68833,38,298.6694,300.1902,TRAIL_SL,149634.8686
EUR_USD,2026-01-14 12:00:00+00:00,2026-01-15 12:00:00+00:00,SHORT,1.16598,1.16228,1.16502,311739,299.2697,901.1205,MAX_BARS,150535.9891
AUD_USD,2026-01-15 03:00:00+00:00,2026-01-15 13:00:00+00:00,LONG,0.66724,0.66826,0.66826,295169,301.072,235.2128,TRAIL_SL,150771.2019
DE30_EUR,2026-01-15 04:00:00+00:00,2026-01-15 15:00:00+00:00,SHORT,25378.2,25390.7,25442.92967,5,301.5424,-53.4188,EOD,150717.7831
USD_JPY,2026-01-15 05:00:00+00:00,2026-01-16 02:00:00+00:00,LONG,158.434,158.11958,158.11958,194421,301.4356,-301.4356,SL,150416.3475
GBP_USD,2026-01-15 05:00:00+00:00,2026-01-15 07:00:00+00:00,SHORT,1.34274,1.34431,1.34431,191613,300.8327,-235.0253,SL,150181.3222
USD_CHF,2026-01-15 09:00:00+00:00,2026-01-15 14:00:00+00:00,LONG,0.80052,0.80365,0.80132,384714,300.3626,1170.5916,EXIT_MODEL,151351.9138
NAS100_USD,2026-01-15 13:00:00+00:00,2026-01-15 20:00:00+00:00,SHORT,25761.0,25585.3,25864.72808,4,302.7038,549.0625,EOD,151900.9763
SPX500_USD,2026-01-15 16:00:00+00:00,2026-01-15 20:00:00+00:00,SHORT,6984.0,6955.3,7002.70072,21,303.802,470.8594,EOD,152371.8357
USD_CHF,2026-01-16 00:00:00+00:00,2026-01-16 20:00:00+00:00,SHORT,0.80378,0.8031,0.80497,263472,304.7437,174.2865,FRIDAY_CLOSE,152546.1222
AUD_USD,2026-01-16 03:00:00+00:00,2026-01-16 15:00:00+00:00,SHORT,0.67042,0.66941,0.66941,302072,305.0922,238.3537,TRAIL_SL,152784.4759
GBP_USD,2026-01-16 06:00:00+00:00,2026-01-16 11:00:00+00:00,LONG,1.33805,1.34078,1.33814,3395211,305.569,7241.3485,EXIT_MODEL,160025.8244
DE30_EUR,2026-01-16 07:00:00+00:00,2026-01-16 14:00:00+00:00,SHORT,25345.0,25250.5,25339.62911,70,320.0516,5653.8462,EXIT_MODEL,165679.6706
NAS100_USD,2026-01-16 10:00:00+00:00,2026-01-16 15:00:00+00:00,SHORT,25722.8,25548.8,25702.3173,21,331.3593,2854.6875,EXIT_MODEL,168534.3581
SPX500_USD,2026-01-16 10:00:00+00:00,2026-01-16 20:00:00+00:00,SHORT,6972.0,6947.5,6985.02535,33,337.0687,631.6406,EOD,169165.9987
